source_id, target_id, reporter
'10.1111/pala.12280', '10.5061/dryad.k4m8t', 'Crossref'
'10.1111/pala.12263', '10.5061/dryad.8d1t2', 'Crossref'
'10.1111/pala.12287', '10.5061/dryad.3rr40', 'Crossref'
'10.1111/pala.12244', '10.5061/dryad.57025', 'Crossref'
'10.1111/pala.12253', '10.5061/dryad.72591', 'Crossref'
'10.1111/pala.12267', '10.5061/dryad.12pn2', 'Crossref'
'10.1111/pala.12241', '10.5061/dryad.k3h00', 'Crossref'
'10.1111/pala.12286', '10.5061/dryad.5sf19', 'Crossref'
'10.1111/pala.12274', '10.5061/dryad.208b1', 'Crossref'
'10.1111/pala.12276', '10.5061/dryad.4h1n1', 'Crossref'
'10.1111/pala.12288', '10.5061/dryad.m17c8', 'Crossref'
'10.1111/pala.12270', '10.5061/dryad.cv03k', 'Crossref'
'10.1111/pala.12287', '10.5061/dryad.f5667', 'Crossref'
'10.1111/pala.12274', '10.5061/dryad.p660m', 'Crossref'
'10.1111/pala.12280', '10.5061/dryad.9k5p0', 'Crossref'
'10.1111/pala.12265', '10.5061/dryad.2sk24', 'Crossref'
'10.1111/pala.12272', '10.5061/dryad.165tm', 'Crossref'
'10.1111/pala.12266', '10.5061/dryad.vr954', 'Crossref'
'10.1111/pala.12285', '10.5061/dryad.6f052', 'Crossref'
'10.1080/07388551.2017.1304356', '10.5061/dryad.pd28pm7n', 'Crossref'
'10.1098/rsbl.2013.0391', '10.5061/dryad.g3p4h', 'Crossref'
'10.1080/00028487.2014.931303', '10.5061/dryad.sr7d5', 'Crossref'
'10.1111/btp.12345', '10.5061/dryad.b233b', 'Crossref'
'10.1111/btp.12401', '10.5061/dryad.7cs41', 'Crossref'
'10.1111/btp.12427', '10.5061/dryad.26tq2', 'Crossref'
'10.1111/2041-210X.12410', '10.5061/dryad.4n4j1', 'Crossref'
'10.1111/btp.12421', '10.5061/dryad.h6t7g', 'Crossref'
'10.1111/btp.12350', '10.5061/dryad.2c2q7', 'Crossref'
'10.1111/btp.12429', '10.5061/dryad.2h914', 'Crossref'
'10.1007/s13744-016-0460-4', '10.5061/dryad.15535rh1', 'Crossref'
'10.1111/evo.12946', '10.5061/dryad.3q332', 'Crossref'
'10.1890/15-0093.1', '10.5061/dryad.p5v8g', 'Crossref'
'10.1111/evo.13021', '10.5061/dryad.48f62', 'Crossref'
'10.1088/1748-9326/11/7/075004', '10.5061/dryad.43m76/1', 'Crossref'
'10.1002/ldr.2500', '10.5061/dryad.234', 'Crossref'
'10.3354/meps10745', '10.5061/dryad.5dg56', 'Crossref'
'10.1111/1755-0998.12577', '10.5061/dryad.sd28r', 'Crossref'
'10.3897/zookeys.618.9986', '10.5061/dryad.mr221', 'Crossref'
'10.1080/17550874.2013.820806', '10.5061/dryad.234', 'Crossref'
'10.3897/zookeys.469.8439', '10.5061/dryad.d47h94c9', 'Crossref'
'10.3390/f7040079', '10.5061/dryad.234', 'Crossref'
'10.1111/2041-210X.12576', '10.5061/dryad.28631', 'Crossref'
'10.3832/ifor1744-009', '10.5061/dryad.234', 'Crossref'
'10.3832/ifor2138-009', '10.5061/dryad.234', 'Crossref'
'10.3897/zookeys.150.1968', '10.5061/dryad.fs262s48', 'Crossref'
'10.1007/s12237-016-0141-x', '10.5061/dryad.62512', 'Crossref'
'10.3389/fpsyg.2014.00298', '10.5061/dryad.23j8n', 'Crossref'
'10.1002/ece3.2476', '10.5061/dryad.n6c67', 'Crossref'
'10.12688/f1000research.11366.1', '10.5061/dryad.q447c', 'Crossref'
'10.7554/eLife.04490', '10.5061/dryad.qj007', 'Crossref'
'10.3934/dcdsb.2012.17.2815', '10.5061/dryad.1qr41s56', 'Crossref'
'10.3390/rs70810017', '10.5061/dryad.234', 'Crossref'
'10.1007/s12686-016-0524-0', '10.5061/dryad.bn281', 'Crossref'
'10.1111/2041-210X.12416', '10.5061/dryad.r7122', 'Crossref'
'10.1111/2041-210X.12695', '10.5061/dryad.t72b0', 'Crossref'
'10.1111/2041-210X.12562', '10.5061/dryad.0m370', 'Crossref'
'10.1111/2041-210X.12404', '10.5061/dryad.ft702', 'Crossref'
'10.1111/2041-210X.12693', '10.5061/dryad.4ft7n', 'Crossref'
'10.3390/f3020332', '10.5061/dryad.69sg2', 'Crossref'
'10.1111/2041-210X.12615', '10.5061/dryad.52mb6', 'Crossref'
'10.1111/2041-210X.12506', '10.5061/dryad.c83j2', 'Crossref'
'10.1111/2041-210X.12375', '10.5061/dryad.5385j', 'Crossref'
'10.1111/2041-210X.12453', '10.5061/dryad.h4f7p', 'Crossref'
'10.1111/2041-210X.12603', '10.5061/dryad.3rt26', 'Crossref'
'10.1002/lno.10370', '10.5061/dryad.1p55v', 'Crossref'
'10.3389/fpsyg.2017.00380', '10.5061/dryad.kv2kh', 'Crossref'
'10.3389/fpsyg.2014.01444', '10.5061/dryad.d2441', 'Crossref'
'10.1002/lno.10002', '10.5061/dryad.j5925', 'Crossref'
'10.1080/0028825X.2012.732093', '10.5061/dryad.43160', 'Crossref'
'10.3389/fgene.2015.00179', '10.5061/dryad.v66p0', 'Crossref'
'10.1002/ecs2.1357', '10.5061/dryad.564q7', 'Crossref'
'10.3389/fpls.2015.00710', '10.5061/dryad.r9c12', 'Crossref'
'10.3389/fpls.2016.00759', '10.5061/dryad.j430t', 'Crossref'
'10.3389/fpls.2016.00111', '10.5061/dryad.s8r4n', 'Crossref'
'10.1038/srep35904', '10.5061/dryad.3s36r118', 'Crossref'
'10.1002/ece3.2175', '10.5061/dryad.234', 'Crossref'
'10.1038/srep38994', '10.5061/dryad.pc8m3', 'Crossref'
'10.4236/ojf.2016.62013', '10.5061/dryad.234', 'Crossref'
'10.1038/s41598-017-02139-8', '10.5061/dryad.j1617', 'Crossref'
'10.1007/s40415-016-0351-2', '10.5061/dryad.234', 'Crossref'
'10.7554/eLife.01567', '10.5061/dryad.b835k', 'Crossref'
'10.7717/peerj.117', '10.5061/dryad.s3443', 'Crossref'
'10.7554/eLife.01311', '10.5061/dryad.hq564', 'Crossref'
'10.7554/eLife.04106', '10.5061/dryad.vb855', 'Crossref'
'10.7554/eLife.00905', '10.5061/dryad.4950k', 'Crossref'
'10.7554/eLife.13135', '10.5061/dryad.9rh6v', 'Crossref'
'10.7554/eLife.14530', '10.5061/dryad.dh371', 'Crossref'
'10.7554/eLife.00861', '10.5061/dryad.rv624', 'Crossref'
'10.7554/eLife.02523', '10.5061/dryad.jp43c', 'Crossref'
'10.7554/eLife.18215', '10.5061/dryad.cg35k', 'Crossref'
'10.7554/eLife.01539', '10.5061/dryad.d62p2', 'Crossref'
'10.7554/eLife.14589', '10.5061/dryad.48m7c', 'Crossref'
'10.7554/eLife.03091', '10.5061/dryad.75940', 'Crossref'
'10.7554/eLife.06541', '10.5061/dryad.qg8dt', 'Crossref'
'10.1002/2016JG003510', '10.5061/dryad.5k0g4', 'Crossref'
'10.7554/eLife.09343', '10.5061/dryad.40gd6', 'Crossref'
'10.7554/eLife.03613', '10.5061/dryad.62gj0', 'Crossref'
'10.7554/eLife.08163', '10.5061/dryad.ck54h', 'Crossref'
'10.7554/eLife.10565', '10.5061/dryad.b2hc1', 'Crossref'
'10.7554/eLife.23379', '10.5061/dryad.7j12m', 'Crossref'
'10.7554/eLife.21394', '10.5061/dryad.rc279', 'Crossref'
'10.7554/eLife.17227', '10.5061/dryad.t0m6p', 'Crossref'
'10.7554/eLife.14243', '10.5061/dryad.dj782', 'Crossref'
'10.7554/eLife.06564', '10.5061/dryad.c8t69', 'Crossref'
'10.7554/eLife.12993', '10.5061/dryad.d8p66', 'Crossref'
'10.7554/eLife.03346', '10.5061/dryad.j966f', 'Crossref'
'10.7554/eLife.01370', '10.5061/dryad.98n8c', 'Crossref'
'10.7554/eLife.05055', '10.5061/dryad.n940b', 'Crossref'
'10.7554/eLife.24661', '10.5061/dryad.5cp90', 'Crossref'
'10.7554/eLife.02510', '10.5061/dryad.cd726', 'Crossref'
'10.7554/eLife.01201', '10.5061/dryad.cv39v', 'Crossref'
'10.7554/eLife.01256', '10.5061/dryad.1775k', 'Crossref'
'10.7554/eLife.13451', '10.5061/dryad.fb240', 'Crossref'
'10.7717/peerj.175', '10.5061/dryad.mf1sd', 'Crossref'
'10.7554/eLife.22089', '10.5061/dryad.2c5t7', 'Crossref'
'10.7554/eLife.03913', '10.5061/dryad.9d030', 'Crossref'
'10.7554/eLife.07340', '10.5061/dryad.fh34h', 'Crossref'
'10.1007/s40362-016-0040-3', '10.5061/dryad.457br', 'Crossref'
'10.7554/eLife.20552', '10.5061/dryad.649nk', 'Crossref'
'10.7554/eLife.07545', '10.5061/dryad.nk453', 'Crossref'
'10.7554/eLife.11214', '10.5061/dryad.m67r6', 'Crossref'
'10.7554/eLife.18937', '10.5061/dryad.5b331', 'Crossref'
'10.7554/eLife.04517', '10.5061/dryad.5hh54', 'Crossref'
'10.7554/eLife.00311', '10.5061/dryad.5n01h', 'Crossref'
'10.7554/eLife.13442', '10.5061/dryad.31v06.2', 'Crossref'
'10.7554/eLife.12469', '10.5061/dryad.fs756', 'Crossref'
'10.7554/eLife.05899', '10.5061/dryad.dg483', 'Crossref'
'10.7554/eLife.15614', '10.5061/dryad.vm525', 'Crossref'
'10.7554/eLife.05503', '10.5061/dryad.622q4', 'Crossref'
'10.7554/eLife.07770', '10.5061/dryad.vt69s', 'Crossref'
'10.7554/eLife.02028', '10.5061/dryad.5sv39', 'Crossref'
'10.7554/eLife.13974', '10.5061/dryad.s3rs0', 'Crossref'
'10.7554/eLife.08347', '10.5061/dryad.47v3c', 'Crossref'
'10.7554/eLife.20731', '10.5061/dryad.n1h4n', 'Crossref'
'10.7554/eLife.02077', '10.5061/dryad.nn5qc', 'Crossref'
'10.7554/eLife.11147', '10.5061/dryad.c7366', 'Crossref'
'10.7554/eLife.22510', '10.5061/dryad.48r68', 'Crossref'
'10.7554/eLife.00421', '10.5061/dryad.p7s88', 'Crossref'
'10.7554/eLife.21629', '10.5061/dryad.h3680', 'Crossref'
'10.7554/eLife.19469', '10.5061/dryad.t5r8m', 'Crossref'
'10.7554/eLife.13258', '10.5061/dryad.0529j', 'Crossref'
'10.7554/eLife.10856', '10.5061/dryad.dv56j', 'Crossref'
'10.7554/eLife.06559', '10.5061/dryad.97vt8', 'Crossref'
'10.7554/eLife.02030', '10.5061/dryad.s00vr', 'Crossref'
'10.7554/eLife.24482', '10.5061/dryad.7pt59', 'Crossref'
'10.7554/eLife.16747', '10.5061/dryad.f96cr', 'Crossref'
'10.7554/eLife.03318', '10.5061/dryad.gv595', 'Crossref'
'10.7554/eLife.09457', '10.5061/dryad.p286g', 'Crossref'
'10.7554/eLife.03640', '10.5061/dryad.j2n18', 'Crossref'
'10.7554/eLife.02730', '10.5061/dryad.6f267', 'Crossref'
'10.7717/peerj.1032', '10.5061/dryad.jm6pj', 'Crossref'
'10.7554/eLife.09148', '10.5061/dryad.630hf', 'Crossref'
'10.7554/eLife.02478', '10.5061/dryad.q827h', 'Crossref'
'10.7554/eLife.00626', '10.5061/dryad.hv01f', 'Crossref'
'10.7554/eLife.01630', '10.5061/dryad.2r79q', 'Crossref'
'10.7554/eLife.05198', '10.5061/dryad.2hv7d', 'Crossref'
'10.7554/eLife.06394', '10.5061/dryad.cv323', 'Crossref'
'10.7554/eLife.00626', '10.5061/dryad.0k402', 'Crossref'
'10.7554/eLife.00626', '10.5061/dryad.589ft', 'Crossref'
'10.7554/eLife.19276', '10.5061/dryad.83420', 'Crossref'
